subject,body,category
Reminder to send over the signed form,Just a friendly reminder to send over the signed form whenever convenient this week so we can keep things moving.,Follow-Up
Your antivirus subscription has expired — renew now,"Your antivirus protection has expired, leaving your device at risk. Click here to renew immediately with your card details.",Spam
Introducing our new referral program,We've launched a new referral program — invite friends and earn rewards together.,News & Promotions
"Congratulations, you qualify for a free cruise",You've been selected for a free luxury cruise. Confirm your spot by entering your credit card for a small booking fee.,Spam
Gentle nudge on the pending item,Just a gentle nudge on the item we discussed — whenever you have bandwidth.,Follow-Up
Could you review this draft when you get a chance?,"I've attached the updated draft. Whenever you have a moment this week, could you take a look and share your thoughts?",Follow-Up
Claim your inheritance now,A distant relative has left you an inheritance. Provide your bank details to begin the transfer process.,Spam
New referral opportunity from your network,Someone in your network referred you for an open position. Check out the role details and let them know if you're interested.,Job/Internship
You're invited to a virtual hiring event,Join our virtual hiring event next week to meet recruiters from several companies hiring for entry-level roles.,Job/Internship
Thank you for applying — here's what happens next,We've received your application and our team will review it within two weeks. You'll hear from us either way.,Job/Internship
Following up: are you still interested in the study group?,We're forming a study group for the upcoming exam. Let me know by tomorrow if you'd like to join so I can add you to the chat.,Follow-Up
Checking in on our earlier discussion,Wanted to check in on our earlier discussion and see where things stand.,Follow-Up
Action required: confirm your seat for tomorrow's viva,Please confirm your attendance for tomorrow's viva voce by 6 PM today. Seats not confirmed will be reassigned and you will not be able to appear.,Urgent
Your computer has a virus — call this number now,Our scan detected a virus on your computer. Call the number below immediately for remote support.,Spam
Meet the new student council for this year,Get to know the newly elected student council members and what they're planning for the semester ahead.,News & Promotions
We'd like to connect about an opportunity at our company,"Hi, I came across your profile and think you'd be a great fit for an opening on our engineering team. Would you be open to a quick chat?",Job/Internship
You are the lucky winner of our lottery,Your email address has won our international lottery draw. Reply with your details to claim your winnings.,Spam
Immediate action: your badge access has been revoked,Your building access badge has been temporarily revoked pending verification. Visit the security office today to resolve this.,Urgent
Circling back after the holidays,Circling back now that things have settled after the holidays — any update on this?,Follow-Up
New internship alert: Software Engineer Intern at a fintech startup,"A new internship matching your profile was just posted. Software Engineer Intern, remote, 3-month duration. View the listing and apply.",Job/Internship
Your weekly roundup of top discussions,Here's a roundup of the most active discussions from the community this week.,News & Promotions
Work from home and earn $5000 a week,Earn $5000 a week working from home with no experience required. Sign up with your payment details today.,Spam
Following up on my earlier question,Following up on the question I asked earlier — happy to explain further if helpful.,Follow-Up
Your package could not be delivered,Your package delivery failed due to an incomplete address. Click here and pay a small redelivery fee to reschedule.,Spam
Increase your followers instantly,Buy followers and likes instantly at unbeatable prices. Boost your social presence today.,Spam
Your email storage is full — click to upgrade,Your mailbox storage is full. Click this link and log in with your credentials to upgrade immediately.,Spam
Reschedule notice: Exam moved to 9 AM sharp,Your semester exam has been moved from 2 PM to 9 AM sharp tomorrow. Please make arrangements to reach the exam hall on time.,Urgent
Your stipend details for the internship,Please find attached the stipend and joining details for your upcoming internship.,Job/Internship
Your loan has been pre-approved,You are pre-approved for an instant loan with no credit check. Apply now and get funds within minutes.,Spam
Monthly newsletter: alumni spotlight and upcoming events,"In this month's newsletter: an alumni spotlight, a roundup of upcoming department events, and a summary of recent publications.",News & Promotions
Following up on our conversation last week,Just checking in on the notes I shared last week — let me know if you had a chance to look them over and if you have any questions.,Follow-Up
Waiting on your approval to proceed,The next step is ready to go as soon as you approve the plan. Let me know if you have questions or if it looks good to proceed.,Follow-Up
Interview feedback is ready to view,Feedback from your recent interview round is now available in your applicant dashboard.,Job/Internship
Earn a degree in 5 days — no exams required,"Get a recognized degree in just 5 days, no exams or coursework required.",Spam
Weight loss secret doctors don't want you to know,Lose 10 kilos in a week with this secret formula doctors don't want you to know about.,Spam
Recap: highlights from last week's town hall,Catch up on the key highlights and announcements from last week's town hall.,News & Promotions
Limited edition merchandise now live,Our limited edition merchandise collection just went live — while supplies last.,News & Promotions
Any progress on this from your side?,Curious if there's been any progress on this from your side whenever you have a chance to update me.,Follow-Up
Join our reader survey and win prizes,Share your feedback in our quick reader survey for a chance to win a prize.,News & Promotions
Circling back on the feedback you promised,"Hey, circling back on this — did you get a chance to jot down feedback on my sample chapter? Whenever works for you.",Follow-Up
Following up on the introduction you offered,Following up on the introduction you mentioned — would still love to connect if it's convenient for you.,Follow-Up
Flash sale: 24 hours only,Our flash sale is live for the next 24 hours only. Don't miss these limited-time prices.,News & Promotions
New arrivals: fresh drops just landed,"Check out the newest additions to our store this week, plus a limited-time discount for students.",News & Promotions
Action needed: sign the updated hostel agreement,The updated hostel agreement must be signed and returned to the warden's office by tomorrow morning.,Urgent
Your subscription benefits just got better,We've added new perks to your subscription — take a look at what's new.,News & Promotions
Wanted to reconnect on this topic,Wanted to reconnect on this topic since it's been a little while — happy to pick it back up whenever works.,Follow-Up
You've been added to the talent pool,Your profile has been added to our talent pool for future openings that match your skill set.,Job/Internship
Your subscription will auto-renew — cancel here,Your subscription is about to auto-renew. Click here and enter your card details to cancel.,Spam
Your weekly digest is here,Here's your weekly digest with the top stories and updates you might have missed.,News & Promotions
Can you confirm receipt of the documents I sent?,Wanted to make sure the documents came through okay. Let me know if you can confirm receipt in the next day or so.,Follow-Up
Get rich quick with this one simple trick,"Make thousands of dollars a week from home with this simple trick. No experience needed, guaranteed results.",Spam
Product update: here's what's new this quarter,We've shipped a number of improvements this quarter. Here's a quick look at what's new and what's coming next.,News & Promotions
Did you get a chance to review my notes?,Wondering if you had a chance to look at the notes I shared. Happy to walk through them together.,Follow-Up
Congratulations — you've been shortlisted for the next round,You have been shortlisted for the technical interview round. Further details about the schedule will follow shortly.,Job/Internship
New feature rollout: what's changed,We've rolled out a new set of features this week. Here's a quick overview of what's changed.,News & Promotions
Fee payment overdue — account will be blocked,Your semester fee payment is overdue. Please clear the dues within 24 hours to avoid your student account being blocked.,Urgent
Your appeal deadline is in 2 hours,The window to submit an appeal for your grade closes in 2 hours. Submit any supporting documents before then.,Urgent
Last chance to opt in for the hostel allotment,This is your last chance to opt in for hostel allotment this semester. The form closes in a few hours.,Urgent
Please review and approve the meeting notes,Sharing the notes from our sync earlier. Please review and approve them so I can circulate to the rest of the group.,Follow-Up
Congratulations on completing round 1!,You've cleared the first round of interviews. Details for the next round will be shared shortly.,Job/Internship
Your visa document is missing — submit by Friday,We noticed your visa supporting document is still missing from your application. Please upload it by Friday or your application will be withdrawn.,Urgent
New career fair announced for next month,A career fair featuring multiple recruiters will be held next month. Registration is now open.,Job/Internship
Your seat is at risk — pay the balance today,Your seat allotment will be cancelled if the remaining balance is not paid by the end of today.,Urgent
You've been selected for a mystery shopper program,You qualify for our mystery shopper program. Send your banking details to receive your first assignment.,Spam
Your profile matches 3 new internships,"Based on your profile, we found three new internship listings this week that match your interests.",Job/Internship
Your parcel is held at customs — pay to release,Your parcel is being held at customs. Pay the release fee below to have it delivered.,Spam
Checking in before our meeting next week,Wanted to check in ahead of our meeting next week to see if there's anything you'd like me to prepare.,Follow-Up
A quick follow-up on next steps,Wanted to follow up quickly on what the next steps look like from here.,Follow-Up
Double your bitcoin investment in 24 hours,Invest in our exclusive program and double your bitcoin in just 24 hours. Limited spots available.,Spam
Any update on the timeline we discussed?,Just checking if there's any update on the timeline we talked about last time.,Follow-Up
Your application status has been updated,Your application for the Data Analyst role has moved to the next stage. The recruiter will reach out to schedule a screening call.,Job/Internship
Webinar recording now available,Missed our last webinar? The full recording is now available to watch on demand.,News & Promotions
Reschedule alert: your flight has been moved up,Your connecting flight has been moved up by two hours. Please reach the airport earlier than originally planned.,Urgent
Password reset required before you can log in again,Your student portal password has expired for security reasons. You must reset it before your next login or you will be locked out.,Urgent
Your resume was viewed by a recruiter,A recruiter at a growing startup viewed your profile this week and may reach out about a relevant opening.,Job/Internship
Unclaimed funds are waiting for you,Records show unclaimed funds under your name. Submit your personal details to process the claim.,Spam
Season sale starts this Friday,Our biggest seasonal sale of the year starts this Friday. Get ready for great deals.,News & Promotions
Apply now: walk-in interviews this Saturday,Walk-in interviews are being held this Saturday for multiple roles. Bring your resume and a copy of your ID.,Job/Internship
